buyer_id,first_seen,source,dept,opt_in_email,opt_in_push,contactable
B00050,2024-09-07,Tournée 2024,75,True,False,True
B00051,2024-07-20,Tournée 2024,75,True,True,True
B00052,2024-07-30,Tournée 2024,75,True,True,True
B00053,2024-08-15,Tournée 2024,67,False,True,False
B00054,2024-08-24,Tournée 2024,75,False,True,False
B00055,2024-08-03,Tournée 2024,75,True,False,True
B00056,2024-08-11,Tournée 2024,75,True,False,True
B00057,2024-08-26,Tournée 2024,75,True,False,True
B00058,2024-08-09,Tournée 2024,75,True,False,True
B00059,2024-09-16,Tournée 2024,75,True,False,True
B00060,2024-09-16,Tournée 2024,75,True,False,True
B00061,2024-07-26,Tournée 2024,75,True,False,True
B00062,2024-09-10,Tournée 2024,75,False,False,False
B00063,2024-07-19,Tournée 2024,75,True,False,True
B00064,2024-07-27,Tournée 2024,75,True,False,True
B00065,2024-08-20,Tournée 2024,75,True,True,True
B00066,2024-09-21,Tournée 2024,75,False,False,False
B00067,2024-09-05,Tournée 2024,75,True,False,True
B00068,2024-08-05,Tournée 2024,75,True,True,True
B00069,2024-07-23,Tournée 2024,75,False,False,False
B00070,2024-07-23,Tournée 2024,75,True,False,True
B00071,2024-09-16,Tournée 2024,75,True,False,True
B00072,2024-09-20,Tournée 2024,75,True,False,True
B00073,2024-08-11,Tournée 2024,44,False,False,False
B00074,2024-09-06,Tournée 2024,75,False,False,False
B00075,2024-07-24,Tournée 2024,59,True,False,True
B00076,2024-07-21,Tournée 2024,75,True,False,True
B00077,2024-08-22,Tournée 2024,33,True,False,True
B00078,2024-08-06,Tournée 2024,75,False,False,False
B00079,2024-07-17,Tournée 2024,75,True,False,True
B00080,2024-09-10,Tournée 2024,75,False,False,False
B00081,2024-07-18,Tournée 2024,75,True,False,True
B00082,2024-08-20,Tournée 2024,75,True,False,True
B00083,2024-07-29,Tournée 2024,75,True,False,True
B00084,2024-08-06,Tournée 2024,75,True,False,True
B00085,2024-08-15,Tournée 2024,75,False,False,False
B00086,2024-09-05,Tournée 2024,75,True,False,True
B00087,2024-07-30,Tournée 2024,75,True,False,True
B00088,2024-08-02,Tournée 2024,75,True,False,True
B00089,2024-08-01,Tournée 2024,75,False,False,False
B00090,2024-08-03,Tournée 2024,13,True,False,True
B00091,2024-07-29,Tournée 2024,75,False,False,False
B00092,2024-07-27,Tournée 2024,75,True,False,True
B00093,2024-09-03,Tournée 2024,75,False,True,False
B00094,2024-08-16,Tournée 2024,75,False,False,False
B00095,2024-07-25,Tournée 2024,75,True,False,True
B00096,2024-09-13,Tournée 2024,75,True,False,True
B00097,2024-08-31,Tournée 2024,75,True,False,True
B00098,2024-08-01,Tournée 2024,75,True,False,True
B00099,2024-08-09,Tournée 2024,75,True,False,True
B00100,2024-08-12,Tournée 2024,35,False,False,False
B00101,2024-09-20,Tournée 2024,75,True,True,True
B00102,2024-08-19,Tournée 2024,75,False,False,False
B00103,2024-09-20,Tournée 2024,75,True,False,True
B00104,2024-08-14,Tournée 2024,75,False,False,False
B00105,2024-07-18,Tournée 2024,34,True,False,True
B00106,2024-08-14,Tournée 2024,75,True,False,True
B00107,2024-09-12,Tournée 2024,75,True,False,True
B00108,2024-09-06,Tournée 2024,75,True,True,True
B00109,2024-08-09,Tournée 2024,75,True,False,True
B00110,2024-07-25,Tournée 2024,75,False,False,False
B00111,2024-08-08,Tournée 2024,75,True,True,True
B00112,2024-08-30,Tournée 2024,75,False,False,False
B00113,2024-07-18,Tournée 2024,75,False,False,False
B00114,2024-07-31,Tournée 2024,75,True,False,True
B00115,2024-07-18,Tournée 2024,75,False,False,False
B00116,2024-07-16,Tournée 2024,75,True,False,True
B00117,2024-09-14,Tournée 2024,75,True,True,True
B00118,2024-08-13,Tournée 2024,34,False,False,False
B00119,2024-09-09,Tournée 2024,75,True,False,True
B00120,2024-08-10,Tournée 2024,35,False,False,False
B00121,2024-07-16,Tournée 2024,75,False,True,False
B00122,2024-08-25,Tournée 2024,75,True,False,True
B00123,2024-07-15,Tournée 2024,75,True,False,True
B00124,2024-09-20,Tournée 2024,75,True,False,True
B00125,2024-08-27,Tournée 2024,59,False,False,False
B00126,2024-08-13,Tournée 2024,75,True,False,True
B00127,2024-09-06,Tournée 2024,75,True,False,True
B00128,2024-08-11,Tournée 2024,13,True,False,True
B00129,2024-08-05,Tournée 2024,75,True,True,True
B00130,2024-08-14,Tournée 2024,75,True,False,True
B00131,2024-08-27,Tournée 2024,75,True,False,True
B00132,2024-09-05,Tournée 2024,44,False,False,False
B00133,2024-09-20,Tournée 2024,75,False,True,False
B00134,2024-08-08,Tournée 2024,75,False,True,False
B00135,2024-09-18,Tournée 2024,75,True,False,True
B00136,2024-09-11,Tournée 2024,75,True,False,True
B00137,2024-09-13,Tournée 2024,75,True,False,True
B00138,2024-08-21,Tournée 2024,75,False,True,False
B00139,2024-09-09,Tournée 2024,75,False,True,False
B00140,2024-07-20,Tournée 2024,75,True,False,True
B00141,2024-08-02,Tournée 2024,75,True,False,True
B00142,2024-09-17,Tournée 2024,75,False,True,False
B00143,2024-09-13,Tournée 2024,75,True,True,True
B00144,2024-07-23,Tournée 2024,75,True,False,True
B00145,2024-09-17,Tournée 2024,31,False,True,False
B00146,2024-07-24,Tournée 2024,13,True,False,True
B00147,2024-09-19,Tournée 2024,75,True,True,True
B00148,2024-09-03,Tournée 2024,75,True,True,True
B00149,2024-08-16,Tournée 2024,75,True,True,True
B00150,2024-07-21,Tournée 2024,75,True,False,True
B00151,2024-09-04,Tournée 2024,75,False,False,False
B00152,2024-09-04,Tournée 2024,75,False,True,False
B00153,2024-09-03,Tournée 2024,75,True,False,True
B00154,2024-07-17,Tournée 2024,31,True,False,True
B00155,2024-07-25,Tournée 2024,67,True,True,True
B00156,2024-09-10,Tournée 2024,75,True,True,True
B00157,2024-07-15,Tournée 2024,75,True,True,True
B00158,2024-08-18,Tournée 2024,67,True,True,True
B00159,2024-09-05,Tournée 2024,75,True,False,True
B00160,2024-08-31,Tournée 2024,75,False,False,False
B00161,2024-08-26,Tournée 2024,75,True,True,True
B00162,2024-09-17,Tournée 2024,75,False,False,False
B00163,2024-07-25,Tournée 2024,75,True,True,True
B00164,2024-09-08,Tournée 2024,75,False,True,False
B00165,2024-07-31,Tournée 2024,75,False,True,False
B00166,2024-09-23,Tournée 2024,69,False,False,False
B00167,2024-08-31,Tournée 2024,34,True,False,True
B00168,2024-08-25,Tournée 2024,69,False,True,False
B00169,2024-08-19,Tournée 2024,69,True,True,True
B00170,2024-09-24,Tournée 2024,69,True,False,True
B00171,2024-08-18,Tournée 2024,69,True,True,True
B00172,2024-08-14,Tournée 2024,69,False,False,False
B00173,2024-09-01,Tournée 2024,69,True,False,True
B00174,2024-08-10,Tournée 2024,69,False,False,False
B00175,2024-09-11,Tournée 2024,69,True,False,True
B00176,2024-09-17,Tournée 2024,69,True,False,True
B00177,2024-09-05,Tournée 2024,31,False,False,False
B00178,2024-08-04,Tournée 2024,69,True,False,True
B00179,2024-07-28,Tournée 2024,69,True,False,True
B00180,2024-08-07,Tournée 2024,33,False,False,False
B00181,2024-08-04,Tournée 2024,69,True,False,True
B00182,2024-08-21,Tournée 2024,69,False,True,False
B00183,2024-09-24,Tournée 2024,69,True,False,True
B00184,2024-08-23,Tournée 2024,69,False,False,False
B00185,2024-07-29,Tournée 2024,69,True,False,True
B00186,2024-09-17,Tournée 2024,34,True,False,True
B00187,2024-07-27,Tournée 2024,69,False,False,False
B00188,2024-08-21,Tournée 2024,33,True,True,True
B00189,2024-08-17,Tournée 2024,69,False,False,False
B00190,2024-07-23,Tournée 2024,69,True,True,True
B00191,2024-08-08,Tournée 2024,69,True,False,True
B00192,2024-08-10,Tournée 2024,69,True,False,True
B00193,2024-08-31,Tournée 2024,69,True,True,True
B00194,2024-09-25,Tournée 2024,33,True,False,True
B00195,2024-09-15,Tournée 2024,69,True,False,True
B00196,2024-07-25,Tournée 2024,67,True,True,True
B00197,2024-08-12,Tournée 2024,69,True,True,True
B00198,2024-09-13,Tournée 2024,69,True,False,True
B00199,2024-09-26,Tournée 2024,69,True,False,True
B00200,2024-08-12,Tournée 2024,69,False,False,False
B00201,2024-09-27,Tournée 2024,69,False,False,False
B00202,2024-08-10,Tournée 2024,69,True,True,True
B00203,2024-08-29,Tournée 2024,69,True,False,True
B00204,2024-09-13,Tournée 2024,69,False,False,False
B00205,2024-09-26,Tournée 2024,69,True,False,True
B00206,2024-08-11,Tournée 2024,69,False,False,False
B00207,2024-07-31,Tournée 2024,69,True,False,True
B00208,2024-09-16,Tournée 2024,67,False,False,False
B00209,2024-07-21,Tournée 2024,69,False,False,False
B00210,2024-09-11,Tournée 2024,69,True,False,True
B00211,2024-08-09,Tournée 2024,69,False,False,False
B00212,2024-09-01,Tournée 2024,34,True,False,True
B00213,2024-08-09,Tournée 2024,69,True,False,True
B00214,2024-07-24,Tournée 2024,69,True,False,True
B00215,2024-09-23,Tournée 2024,69,True,False,True
B00216,2024-08-06,Tournée 2024,59,False,False,False
B00217,2024-08-07,Tournée 2024,69,True,False,True
B00218,2024-09-07,Tournée 2024,69,True,True,True
B00219,2024-08-11,Tournée 2024,69,True,True,True
B00220,2024-09-03,Tournée 2024,69,True,True,True
B00221,2024-08-15,Tournée 2024,69,False,True,False
B00222,2024-09-08,Tournée 2024,33,True,False,True
B00223,2024-08-04,Tournée 2024,69,True,False,True
B00224,2024-08-12,Tournée 2024,69,True,True,True
B00225,2024-08-07,Tournée 2024,35,True,False,True
B00226,2024-08-28,Tournée 2024,69,True,False,True
B00227,2024-07-27,Tournée 2024,69,True,False,True
B00228,2024-08-13,Tournée 2024,31,True,False,True
B00229,2024-08-04,Tournée 2024,69,False,False,False
B00230,2024-09-21,Tournée 2024,67,True,False,True
B00231,2024-09-26,Tournée 2024,69,False,False,False
B00232,2024-09-26,Tournée 2024,69,False,False,False
B00233,2024-08-18,Tournée 2024,69,True,False,True
B00234,2024-07-22,Tournée 2024,69,True,False,True
B00235,2024-07-22,Tournée 2024,69,True,False,True
B00236,2024-08-21,Tournée 2024,69,True,False,True
B00237,2024-07-30,Tournée 2024,69,True,False,True
B00238,2024-08-04,Tournée 2024,69,True,False,True
B00239,2024-09-10,Tournée 2024,69,True,False,True
B00240,2024-08-30,Tournée 2024,69,False,False,False
B00241,2024-08-18,Tournée 2024,69,True,False,True
B00242,2024-07-21,Tournée 2024,69,False,False,False
B00243,2024-08-11,Tournée 2024,69,True,False,True
B00244,2024-08-27,Tournée 2024,69,True,False,True
B00245,2024-08-13,Tournée 2024,69,False,False,False
B00246,2024-08-06,Tournée 2024,69,True,False,True
B00247,2024-08-02,Tournée 2024,13,True,False,True
B00248,2024-09-23,Tournée 2024,69,True,False,True
B00249,2024-07-25,Tournée 2024,69,False,False,False
B00250,2024-09-16,Tournée 2024,69,True,False,True
B00251,2024-09-06,Tournée 2024,69,False,False,False
B00252,2024-09-19,Tournée 2024,31,False,False,False
B00253,2024-09-23,Tournée 2024,69,True,False,True
B00254,2024-08-15,Tournée 2024,59,True,True,True
B00255,2024-08-24,Tournée 2024,69,True,False,True
B00256,2024-08-12,Tournée 2024,69,False,False,False
B00257,2024-08-02,Tournée 2024,69,True,False,True
B00258,2024-08-23,Tournée 2024,13,True,False,True
B00259,2024-09-14,Tournée 2024,69,True,False,True
B00260,2024-09-21,Tournée 2024,75,True,False,True
B00261,2024-08-27,Tournée 2024,33,True,False,True
B00262,2024-09-08,Tournée 2024,33,False,False,False
B00263,2024-07-29,Tournée 2024,44,True,False,True
B00264,2024-09-10,Tournée 2024,33,False,False,False
B00265,2024-09-04,Tournée 2024,35,True,False,True
B00266,2024-09-10,Tournée 2024,33,True,False,True
B00267,2024-09-26,Tournée 2024,33,True,False,True
B00268,2024-07-31,Tournée 2024,33,True,True,True
B00269,2024-07-28,Tournée 2024,33,False,False,False
B00270,2024-09-15,Tournée 2024,33,True,False,True
B00271,2024-09-09,Tournée 2024,33,True,False,True
B00272,2024-08-16,Tournée 2024,33,True,False,True
B00273,2024-08-14,Tournée 2024,44,True,False,True
B00274,2024-08-15,Tournée 2024,33,True,False,True
B00275,2024-07-28,Tournée 2024,33,False,False,False
B00276,2024-08-04,Tournée 2024,33,True,True,True
B00277,2024-08-12,Tournée 2024,33,True,False,True
B00278,2024-08-02,Tournée 2024,33,False,False,False
B00279,2024-10-05,Tournée 2024,33,False,False,False
B00280,2024-07-30,Tournée 2024,69,True,False,True
B00281,2024-10-01,Tournée 2024,33,False,False,False
B00282,2024-09-16,Tournée 2024,33,False,False,False
B00283,2024-08-14,Tournée 2024,33,True,False,True
B00284,2024-09-14,Tournée 2024,33,True,False,True
B00285,2024-08-12,Tournée 2024,35,True,False,True
B00286,2024-09-16,Tournée 2024,BE,True,False,True
B00287,2024-09-21,Tournée 2024,33,True,False,True
B00288,2024-09-17,Tournée 2024,34,False,False,False
B00289,2024-08-20,Tournée 2024,33,True,False,True
B00290,2024-08-31,Tournée 2024,33,False,True,False
B00291,2024-10-04,Tournée 2024,44,True,False,True
B00292,2024-08-13,Tournée 2024,33,False,False,False
B00293,2024-09-03,Tournée 2024,69,True,False,True
B00294,2024-08-08,Tournée 2024,33,True,False,True
B00295,2024-08-23,Tournée 2024,33,False,False,False
B00296,2024-09-10,Tournée 2024,33,True,True,True
B00297,2024-09-12,Tournée 2024,33,False,False,False
B00298,2024-09-02,Tournée 2024,67,True,False,True
B00299,2024-08-24,Tournée 2024,33,True,False,True
B00300,2024-09-23,Tournée 2024,33,True,False,True
B00301,2024-08-24,Tournée 2024,33,True,False,True
B00302,2024-08-25,Tournée 2024,33,True,True,True
B00303,2024-08-21,Tournée 2024,44,False,False,False
B00304,2024-07-29,Tournée 2024,33,True,False,True
B00305,2024-08-24,Tournée 2024,33,False,False,False
B00306,2024-07-31,Tournée 2024,33,True,False,True
B00307,2024-08-07,Tournée 2024,33,True,False,True
B00308,2024-09-13,Tournée 2024,69,True,True,True
B00309,2024-09-12,Tournée 2024,33,True,False,True
B00310,2024-08-02,Tournée 2024,33,False,False,False
B00311,2024-09-28,Tournée 2024,33,True,True,True
B00312,2024-09-07,Tournée 2024,33,False,False,False
B00313,2024-09-30,Tournée 2024,33,True,False,True
B00314,2024-09-01,Tournée 2024,33,True,False,True
B00315,2024-09-22,Tournée 2024,33,False,True,False
B00316,2024-08-08,Tournée 2024,33,True,False,True
B00317,2024-08-09,Tournée 2024,33,True,False,True
B00318,2024-10-04,Tournée 2024,33,True,False,True
B00319,2024-09-04,Tournée 2024,59,False,True,False
B00320,2024-08-18,Tournée 2024,13,True,False,True
B00321,2024-08-29,Tournée 2024,33,False,False,False
B00322,2024-09-07,Tournée 2024,67,True,False,True
B00323,2024-07-31,Tournée 2024,33,False,False,False
B00324,2024-09-16,Tournée 2024,13,False,True,False
B00325,2024-08-28,Tournée 2024,33,False,False,False
B00326,2024-08-25,Tournée 2024,33,False,False,False
B00327,2024-10-03,Tournée 2024,33,True,False,True
B00328,2024-07-30,Tournée 2024,33,True,False,True
B00329,2024-09-14,Tournée 2024,33,True,False,True
B00330,2024-09-06,Tournée 2024,33,True,False,True
B00331,2024-09-23,Tournée 2024,35,True,False,True
B00332,2024-08-19,Tournée 2024,67,True,False,True
B00333,2024-08-03,Tournée 2024,33,True,False,True
B00334,2024-08-22,Tournée 2024,33,True,False,True
B00335,2024-08-08,Tournée 2024,33,False,False,False
B00336,2024-09-30,Tournée 2024,33,True,True,True
B00337,2024-08-08,Tournée 2024,34,True,False,True
B00338,2024-09-11,Tournée 2024,33,False,False,False
B00339,2024-08-18,Tournée 2024,33,False,False,False
B00340,2024-08-26,Tournée 2024,31,False,False,False
B00341,2024-08-20,Tournée 2024,33,True,False,True
B00342,2024-09-01,Tournée 2024,33,True,False,True
B00343,2024-07-30,Tournée 2024,35,False,False,False
B00344,2024-08-04,Tournée 2024,33,True,False,True
B00345,2024-08-07,Tournée 2024,33,True,False,True
B00346,2024-09-26,Tournée 2024,33,True,True,True
B00347,2024-10-03,Tournée 2024,34,False,False,False
B00348,2024-09-06,Tournée 2024,33,False,False,False
B00349,2024-10-05,Tournée 2024,33,False,False,False
B00350,2024-08-18,Tournée 2024,33,True,False,True
B00351,2024-09-09,Tournée 2024,69,False,False,False
B00352,2024-08-07,Tournée 2024,33,False,True,False
B00353,2024-10-03,Tournée 2024,33,True,False,True
B00354,2024-09-17,Tournée 2024,33,True,False,True
B00355,2024-08-04,Tournée 2024,33,True,False,True
B00356,2024-08-11,Tournée 2024,33,False,False,False
B00357,2024-09-13,Tournée 2024,33,True,False,True
B00358,2024-10-01,Tournée 2024,33,False,False,False
B00359,2024-09-30,Tournée 2024,33,False,False,False
B00360,2024-08-09,Tournée 2024,35,True,False,True
B00361,2024-09-01,Tournée 2024,34,True,False,True
B00362,2024-09-09,Tournée 2024,69,True,False,True
B00363,2024-09-15,Tournée 2024,33,False,False,False
B00364,2024-09-29,Tournée 2024,33,False,False,False
B00365,2024-09-18,Tournée 2024,33,True,False,True
B00366,2024-08-14,Tournée 2024,33,False,True,False
B00367,2024-09-03,Tournée 2024,33,True,True,True
B00368,2024-08-31,Tournée 2024,33,True,True,True
B00369,2024-08-22,Tournée 2024,BE,True,True,True
B00370,2024-08-03,Tournée 2024,33,True,True,True
B00371,2024-10-04,Tournée 2024,35,True,False,True
B00372,2024-08-06,Tournée 2024,33,False,False,False
B00373,2024-08-21,Tournée 2024,33,True,False,True
B00374,2024-08-19,Tournée 2024,59,True,True,True
B00375,2024-09-12,Tournée 2024,33,True,False,True
B00376,2024-09-04,Tournée 2024,33,False,False,False
B00377,2024-08-15,Tournée 2024,44,False,False,False
B00378,2024-09-24,Tournée 2024,33,True,True,True
B00379,2024-08-25,Tournée 2024,33,True,False,True
B00380,2024-09-11,Tournée 2024,33,False,False,False
B00381,2024-08-17,Tournée 2024,44,True,False,True
B00382,2024-10-18,Tournée 2024,44,True,False,True
B00383,2024-09-22,Tournée 2024,44,True,True,True
B00384,2024-08-18,Tournée 2024,44,False,False,False
B00385,2024-08-11,Tournée 2024,44,True,True,True
B00386,2024-10-07,Tournée 2024,44,True,False,True
B00387,2024-10-10,Tournée 2024,44,False,False,False
B00388,2024-10-18,Tournée 2024,44,False,False,False
B00389,2024-09-29,Tournée 2024,44,True,False,True
B00390,2024-09-29,Tournée 2024,44,True,False,True
B00391,2024-10-16,Tournée 2024,44,True,False,True
B00392,2024-10-14,Tournée 2024,75,True,False,True
B00393,2024-08-13,Tournée 2024,44,False,False,False
B00394,2024-10-02,Tournée 2024,44,True,False,True
B00395,2024-09-26,Tournée 2024,44,False,True,False
B00396,2024-09-27,Tournée 2024,44,True,False,True
B00397,2024-10-09,Tournée 2024,44,False,False,False
B00398,2024-09-01,Tournée 2024,44,False,False,False
B00399,2024-08-23,Tournée 2024,44,True,False,True
B00400,2024-08-28,Tournée 2024,44,False,False,False
B00401,2024-08-24,Tournée 2024,44,True,True,True
B00402,2024-08-29,Tournée 2024,44,True,False,True
B00403,2024-08-25,Tournée 2024,BE,False,False,False
B00404,2024-09-17,Tournée 2024,44,False,True,False
B00405,2024-09-01,Tournée 2024,44,False,False,False
B00406,2024-09-25,Tournée 2024,44,False,False,False
B00407,2024-09-16,Tournée 2024,34,True,False,True
B00408,2024-09-26,Tournée 2024,44,True,False,True
B00409,2024-09-09,Tournée 2024,44,False,True,False
B00410,2024-08-15,Tournée 2024,44,True,True,True
B00411,2024-08-17,Tournée 2024,44,True,False,True
B00412,2024-09-17,Tournée 2024,44,True,False,True
B00413,2024-09-14,Tournée 2024,44,False,False,False
B00414,2024-09-05,Tournée 2024,44,False,False,False
B00415,2024-08-14,Tournée 2024,44,False,False,False
B00416,2024-10-15,Tournée 2024,BE,False,False,False
B00417,2024-10-10,Tournée 2024,44,False,False,False
B00418,2024-09-29,Tournée 2024,44,False,False,False
B00419,2024-08-20,Tournée 2024,44,True,False,True
B00420,2024-09-02,Tournée 2024,44,True,False,True
B00421,2024-10-12,Tournée 2024,44,True,False,True
B00422,2024-09-26,Tournée 2024,44,False,False,False
B00423,2024-09-04,Tournée 2024,44,True,False,True
B00424,2024-09-09,Tournée 2024,44,False,True,False
B00425,2024-08-21,Tournée 2024,44,False,True,False
B00426,2024-10-14,Tournée 2024,44,True,False,True
B00427,2024-08-30,Tournée 2024,44,False,False,False
B00428,2024-08-16,Tournée 2024,44,True,False,True
B00429,2024-09-02,Tournée 2024,44,True,False,True
B00430,2024-10-07,Tournée 2024,44,False,False,False
B00431,2024-10-19,Tournée 2024,44,True,False,True
B00432,2024-10-15,Tournée 2024,44,True,False,True
B00433,2024-10-06,Tournée 2024,44,False,True,False
B00434,2024-09-08,Tournée 2024,35,True,False,True
B00435,2024-10-12,Tournée 2024,44,True,True,True
B00436,2024-08-16,Tournée 2024,44,True,False,True
B00437,2024-09-08,Tournée 2024,44,True,False,True
B00438,2024-09-22,Tournée 2024,34,False,False,False
B00439,2024-09-12,Tournée 2024,BE,False,False,False
B00440,2024-10-12,Tournée 2024,34,False,True,False
B00441,2024-08-30,Tournée 2024,BE,True,False,True
B00442,2024-10-17,Tournée 2024,44,False,False,False
B00443,2024-10-13,Tournée 2024,44,True,False,True
B00444,2024-09-19,Tournée 2024,44,True,False,True
B00445,2024-09-02,Tournée 2024,BE,False,True,False
B00446,2024-09-05,Tournée 2024,44,True,False,True
B00447,2024-08-31,Tournée 2024,44,True,False,True
B00448,2024-08-26,Tournée 2024,44,False,False,False
B00449,2024-10-11,Tournée 2024,13,True,True,True
B00450,2024-08-14,Tournée 2024,44,True,False,True
B00451,2024-10-03,Tournée 2024,44,False,False,False
B00452,2024-10-05,Tournée 2024,44,False,False,False
B00453,2024-08-20,Tournée 2024,44,True,False,True
B00454,2024-09-11,Tournée 2024,44,True,True,True
B00455,2024-09-12,Tournée 2024,44,False,False,False
B00456,2024-09-05,Tournée 2024,35,False,True,False
B00457,2024-09-12,Tournée 2024,44,True,False,True
B00458,2024-10-17,Tournée 2024,44,False,False,False
B00459,2024-09-04,Tournée 2024,44,False,False,False
B00460,2024-10-01,Tournée 2024,44,True,True,True
B00461,2024-08-26,Tournée 2024,44,True,True,True
B00462,2024-09-25,Tournée 2024,44,True,False,True
B00463,2024-10-14,Tournée 2024,44,True,False,True
B00464,2024-09-23,Tournée 2024,33,True,False,True
B00465,2024-09-03,Tournée 2024,44,False,False,False
B00466,2024-10-02,Tournée 2024,44,False,True,False
B00467,2024-09-19,Tournée 2024,44,True,False,True
B00468,2024-09-13,Tournée 2024,44,True,False,True
B00469,2024-09-13,Tournée 2024,44,True,True,True
B00470,2024-10-16,Tournée 2024,34,False,False,False
B00471,2024-09-04,Tournée 2024,44,True,True,True
B00472,2024-09-23,Tournée 2024,44,True,True,True
B00473,2024-09-22,Tournée 2024,44,True,False,True
B00474,2024-08-14,Tournée 2024,44,True,False,True
B00475,2024-09-07,Tournée 2024,44,False,False,False
B00476,2024-09-01,Tournée 2024,44,False,True,False
B00477,2024-10-16,Tournée 2024,44,False,False,False
B00478,2024-08-23,Tournée 2024,BE,True,False,True
B00479,2024-09-19,Tournée 2024,34,True,False,True
B00480,2024-08-20,Tournée 2024,59,True,False,True
B00481,2024-10-02,Tournée 2024,59,True,False,True
B00482,2024-09-23,Tournée 2024,59,False,False,False
B00483,2024-08-22,Tournée 2024,59,True,True,True
B00484,2024-09-02,Tournée 2024,59,False,False,False
B00485,2024-10-21,Tournée 2024,59,True,False,True
B00486,2024-10-25,Tournée 2024,34,True,False,True
B00487,2024-08-20,Tournée 2024,59,False,False,False
B00488,2024-08-31,Tournée 2024,59,False,True,False
B00489,2024-10-23,Tournée 2024,59,True,False,True
B00490,2024-09-20,Tournée 2024,59,False,True,False
B00491,2024-09-13,Tournée 2024,59,False,False,False
B00492,2024-08-31,Tournée 2024,59,False,False,False
B00493,2024-10-22,Tournée 2024,59,True,False,True
B00494,2024-08-22,Tournée 2024,59,True,False,True
B00495,2024-10-08,Tournée 2024,59,True,True,True
B00496,2024-10-06,Tournée 2024,59,True,False,True
B00497,2024-09-26,Tournée 2024,59,False,False,False
B00498,2024-10-11,Tournée 2024,59,False,False,False
B00499,2024-10-04,Tournée 2024,59,True,False,True
B00500,2024-08-30,Tournée 2024,59,False,True,False
B00501,2024-09-04,Tournée 2024,59,True,False,True
B00502,2024-09-10,Tournée 2024,59,False,False,False
B00503,2024-09-28,Tournée 2024,59,False,True,False
B00504,2024-09-21,Tournée 2024,59,False,True,False
B00505,2024-10-09,Tournée 2024,59,True,True,True
B00506,2024-10-13,Tournée 2024,59,True,False,True
B00507,2024-09-26,Tournée 2024,59,True,False,True
B00508,2024-10-02,Tournée 2024,59,False,False,False
B00509,2024-10-21,Tournée 2024,67,True,False,True
B00510,2024-09-27,Tournée 2024,59,True,False,True
B00511,2024-10-26,Tournée 2024,69,True,False,True
B00512,2024-09-25,Tournée 2024,59,True,True,True
B00513,2024-08-19,Tournée 2024,59,True,False,True
B00514,2024-08-31,Tournée 2024,33,False,False,False
B00515,2024-08-28,Tournée 2024,59,True,True,True
