buyer_id,recency,frequency,monetary,R,F,M,segment,contactable,opt_in_email,opt_in_push,source,dept
B00031,701,5,208.0,1,4,4,À réactiver,False,False,False,Tournée 2024,75
B00032,745,1,96.0,1,1,4,À réactiver,True,True,True,Tournée 2024,75
B00033,725,1,72.0,1,1,3,À réactiver,True,True,False,Tournée 2024,75
B00034,667,2,114.0,1,2,4,À réactiver,True,True,False,Tournée 2024,67
B00035,709,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00036,735,2,72.0,1,2,3,À réactiver,True,True,False,Tournée 2024,75
B00037,641,2,68.0,1,2,3,À réactiver,False,False,False,Tournée 2024,33
B00038,739,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00039,706,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,33
B00040,702,1,24.0,1,1,1,À réactiver,False,False,False,Tournée 2024,75
B00041,753,1,24.0,1,1,1,À réactiver,False,False,False,Tournée 2024,75
B00042,61,2,112.0,1,2,4,Noyau dur,True,True,False,Tournée 2024,75
B00043,693,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00044,727,3,96.0,1,3,4,À réactiver,True,True,False,Tournée 2024,BE
B00045,56,3,150.0,1,3,4,Noyau dur,False,False,False,Tournée 2024,44
B00046,714,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00047,711,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00048,681,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00049,755,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00050,42,3,146.0,3,3,4,Noyau dur,True,True,False,Tournée 2024,75
B00051,688,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00052,688,2,45.0,1,2,2,À réactiver,True,True,True,Tournée 2024,75
B00053,59,3,164.8,1,3,4,Noyau dur,False,False,True,Tournée 2024,67
B00054,55,2,100.8,2,2,4,Noyau dur,False,False,True,Tournée 2024,75
B00055,48,2,105.2,2,2,4,Noyau dur,True,True,False,Tournée 2024,75
B00056,730,2,120.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00057,652,2,90.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00058,690,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00059,38,3,173.0,3,3,4,Noyau dur,True,True,False,Tournée 2024,75
B00060,728,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00061,700,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00062,710,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00063,679,1,24.0,1,1,1,À réactiver,True,True,False,Tournée 2024,75
B00064,706,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00065,737,2,120.0,1,2,4,À réactiver,True,True,True,Tournée 2024,75
B00066,48,2,108.0,2,2,4,Noyau dur,False,False,False,Tournée 2024,75
B00067,692,3,114.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00068,709,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00069,694,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00070,726,1,24.0,1,1,1,À réactiver,True,True,False,Tournée 2024,75
B00071,727,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00072,716,1,96.0,1,1,4,À réactiver,True,True,False,Tournée 2024,75
B00073,691,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,44
B00074,754,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00075,684,3,160.0,1,3,4,À réactiver,True,True,False,Tournée 2024,59
B00076,56,2,84.0,1,2,4,Noyau dur,True,True,False,Tournée 2024,75
B00077,24,3,128.0,4,3,4,Noyau dur,True,True,False,Tournée 2024,33
B00078,723,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00079,52,2,100.8,2,2,4,Noyau dur,True,True,False,Tournée 2024,75
B00080,696,2,96.0,1,2,4,À réactiver,False,False,False,Tournée 2024,75
B00081,55,3,120.0,2,3,4,Noyau dur,True,True,False,Tournée 2024,75
B00082,670,2,90.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00083,49,3,206.0,2,3,4,Noyau dur,True,True,False,Tournée 2024,75
B00084,701,2,116.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00085,717,2,70.0,1,2,3,À réactiver,False,False,False,Tournée 2024,75
B00086,682,2,72.0,1,2,3,À réactiver,True,True,False,Tournée 2024,75
B00087,690,3,158.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00088,691,2,96.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00089,749,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00090,753,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,13
B00091,711,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00092,691,3,116.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00093,689,1,48.0,1,1,2,À réactiver,False,False,True,Tournée 2024,75
B00094,684,3,138.0,1,3,4,À réactiver,False,False,False,Tournée 2024,75
B00095,739,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00096,706,2,92.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00097,678,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00098,743,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00099,712,2,69.0,1,2,3,À réactiver,True,True,False,Tournée 2024,75
B00100,39,2,75.0,3,2,4,Noyau dur,False,False,False,Tournée 2024,35
B00101,753,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00102,721,2,72.0,1,2,3,À réactiver,False,False,False,Tournée 2024,75
B00103,42,5,222.0,3,4,4,Noyau dur,True,True,False,Tournée 2024,75
B00104,736,1,24.0,1,1,1,À réactiver,False,False,False,Tournée 2024,75
B00105,683,1,72.0,1,1,4,À réactiver,True,True,False,Tournée 2024,34
B00106,673,3,156.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00107,56,3,176.0,1,3,4,Noyau dur,True,True,False,Tournée 2024,75
B00108,735,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00109,703,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00110,727,2,92.0,1,2,4,À réactiver,False,False,False,Tournée 2024,75
B00111,679,2,72.0,1,2,4,À réactiver,True,True,True,Tournée 2024,75
B00112,732,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00113,676,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00114,692,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00115,29,2,88.6,3,2,4,Noyau dur,False,False,False,Tournée 2024,75
B00116,696,1,72.0,1,1,4,À réactiver,True,True,False,Tournée 2024,75
B00117,60,4,224.0,1,4,4,Noyau dur,True,True,True,Tournée 2024,75
B00118,677,1,24.0,1,1,1,À réactiver,False,False,False,Tournée 2024,34
B00119,710,1,24.0,1,1,1,À réactiver,True,True,False,Tournée 2024,75
B00120,720,1,24.0,1,1,1,À réactiver,False,False,False,Tournée 2024,35
B00121,39,3,146.0,3,3,4,Noyau dur,False,False,True,Tournée 2024,75
B00122,695,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00123,641,2,116.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00124,646,3,134.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00125,42,2,76.0,3,2,4,Noyau dur,False,False,False,Tournée 2024,59
B00126,676,3,136.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00127,704,2,92.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00128,45,2,104.0,2,2,4,Noyau dur,True,True,False,Tournée 2024,13
B00129,754,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00130,686,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00131,696,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00132,42,3,91.75999999999999,3,3,4,Noyau dur,False,False,False,Tournée 2024,44
B00133,44,2,97.28,2,2,4,Noyau dur,False,False,True,Tournée 2024,75
B00134,739,1,48.0,1,1,2,À réactiver,False,False,True,Tournée 2024,75
B00135,654,4,180.0,1,4,4,À réactiver,True,True,False,Tournée 2024,75
B00136,728,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00137,726,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,75
B00138,739,1,48.0,1,1,2,À réactiver,False,False,True,Tournée 2024,75
B00139,674,2,114.0,1,2,4,À réactiver,False,False,True,Tournée 2024,75
B00140,666,3,136.0,1,3,4,À réactiver,True,True,False,Tournée 2024,75
B00141,693,1,24.0,1,1,1,À réactiver,True,True,False,Tournée 2024,75
B00142,35,3,130.0,3,3,4,Noyau dur,False,False,True,Tournée 2024,75
B00143,744,1,24.0,1,1,1,À réactiver,True,True,True,Tournée 2024,75
B00144,62,2,88.0,1,2,4,Noyau dur,True,True,False,Tournée 2024,75
B00145,675,2,68.0,1,2,3,À réactiver,False,False,True,Tournée 2024,31
B00146,701,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,13
B00147,46,2,90.0,2,2,4,Noyau dur,True,True,True,Tournée 2024,75
B00148,730,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00149,711,1,24.0,1,1,1,À réactiver,True,True,True,Tournée 2024,75
B00150,647,2,92.0,1,2,4,À réactiver,True,True,False,Tournée 2024,75
B00151,731,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00152,699,1,24.0,1,1,1,À réactiver,False,False,True,Tournée 2024,75
B00153,37,3,144.0,3,3,4,Noyau dur,True,True,False,Tournée 2024,75
B00154,710,1,48.0,1,1,2,À réactiver,True,True,False,Tournée 2024,31
B00155,714,1,24.0,1,1,1,À réactiver,True,True,True,Tournée 2024,67
B00156,740,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00157,61,2,112.0,1,2,4,Noyau dur,True,True,True,Tournée 2024,75
B00158,62,2,58.0,1,2,3,Noyau dur,True,True,True,Tournée 2024,67
B00159,742,1,24.0,1,1,1,À réactiver,True,True,False,Tournée 2024,75
B00160,746,1,48.0,1,1,2,À réactiver,False,False,False,Tournée 2024,75
B00161,744,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00162,680,3,136.0,1,3,4,À réactiver,False,False,False,Tournée 2024,75
B00163,717,1,48.0,1,1,2,À réactiver,True,True,True,Tournée 2024,75
B00164,57,3,180.0,1,3,4,Noyau dur,False,False,True,Tournée 2024,75
B00165,55,3,230.0,2,3,4,Noyau dur,False,False,True,Tournée 2024,75
B00166,55,3,99.0,2,3,4,Noyau dur,False,False,False,Tournée 2024,69
B00167,690,2,88.0,1,2,4,À réactiver,True,True,False,Tournée 2024,34
B00168,694,1,44.0,1,1,1,À réactiver,False,False,True,Tournée 2024,69
B00169,670,1,22.0,1,1,1,À réactiver,True,True,True,Tournée 2024,69
B00170,746,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00171,662,2,88.0,1,2,4,À réactiver,True,True,True,Tournée 2024,69
B00172,739,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00173,679,2,44.0,1,2,1,À réactiver,True,True,False,Tournée 2024,69
B00174,741,2,66.0,1,2,3,À réactiver,False,False,False,Tournée 2024,69
B00175,705,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00176,672,2,66.0,1,2,3,À réactiver,True,True,False,Tournée 2024,69
B00177,691,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,31
B00178,715,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00179,741,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00180,711,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00181,704,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00182,678,1,44.0,1,1,1,À réactiver,False,False,True,Tournée 2024,69
B00183,661,3,110.0,1,3,4,À réactiver,True,True,False,Tournée 2024,69
B00184,732,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00185,670,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00186,694,2,110.0,1,2,4,À réactiver,True,True,False,Tournée 2024,34
B00187,710,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00188,739,1,88.0,1,1,4,À réactiver,True,True,True,Tournée 2024,33
B00189,671,1,22.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00190,722,2,88.0,1,2,4,À réactiver,True,True,True,Tournée 2024,69
B00191,687,2,66.0,1,2,3,À réactiver,True,True,False,Tournée 2024,69
B00192,683,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00193,52,2,78.0,2,2,4,Noyau dur,True,True,True,Tournée 2024,69
B00194,25,2,112.0,4,2,4,Noyau dur,True,True,False,Tournée 2024,33
B00195,704,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00196,677,1,22.0,1,1,1,À réactiver,True,True,True,Tournée 2024,67
B00197,749,1,44.0,1,1,1,À réactiver,True,True,True,Tournée 2024,69
B00198,49,3,162.0,2,3,4,Noyau dur,True,True,False,Tournée 2024,69
B00199,738,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00200,744,1,22.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00201,676,2,88.0,1,2,4,À réactiver,False,False,False,Tournée 2024,69
B00202,679,1,44.0,1,1,1,À réactiver,True,True,True,Tournée 2024,69
B00203,687,2,88.0,1,2,4,À réactiver,True,True,False,Tournée 2024,69
B00204,737,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00205,677,1,66.0,1,1,3,À réactiver,True,True,False,Tournée 2024,69
B00206,689,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00207,670,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00208,36,2,122.3,3,2,4,Noyau dur,False,False,False,Tournée 2024,67
B00209,696,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00210,663,2,44.0,1,2,1,À réactiver,True,True,False,Tournée 2024,69
B00211,669,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00212,733,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,34
B00213,681,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00214,729,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00215,55,4,192.0,2,4,4,Noyau dur,True,True,False,Tournée 2024,69
B00216,680,2,66.0,1,2,3,À réactiver,False,False,False,Tournée 2024,59
B00217,662,2,88.0,1,2,4,À réactiver,True,True,False,Tournée 2024,69
B00218,719,1,44.0,1,1,1,À réactiver,True,True,True,Tournée 2024,69
B00219,61,2,90.0,1,2,4,Noyau dur,True,True,True,Tournée 2024,69
B00220,41,2,76.0,3,2,4,Noyau dur,True,True,True,Tournée 2024,69
B00221,55,2,100.0,2,2,4,Noyau dur,False,False,True,Tournée 2024,69
B00222,54,2,82.0,2,2,4,Noyau dur,True,True,False,Tournée 2024,33
B00223,741,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00224,726,2,88.0,1,2,4,À réactiver,True,True,True,Tournée 2024,69
B00225,704,2,66.0,1,2,3,À réactiver,True,True,False,Tournée 2024,35
B00226,682,3,198.0,1,3,4,À réactiver,True,True,False,Tournée 2024,69
B00227,696,3,110.0,1,3,4,À réactiver,True,True,False,Tournée 2024,69
B00228,696,2,66.0,1,2,3,À réactiver,True,True,False,Tournée 2024,31
B00229,683,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00230,691,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,67
B00231,742,1,66.0,1,1,3,À réactiver,False,False,False,Tournée 2024,69
B00232,41,2,76.0,3,2,4,Noyau dur,False,False,False,Tournée 2024,69
B00233,736,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00234,729,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00235,42,2,112.64,3,2,4,Noyau dur,True,True,False,Tournée 2024,69
B00236,8,2,96.0,4,2,4,Noyau dur,True,True,False,Tournée 2024,69
B00237,677,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00238,673,2,88.0,1,2,4,À réactiver,True,True,False,Tournée 2024,69
B00239,40,2,98.0,3,2,4,Noyau dur,True,True,False,Tournée 2024,69
B00240,696,2,66.0,1,2,3,À réactiver,False,False,False,Tournée 2024,69
B00241,683,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00242,40,3,94.16,3,3,4,Noyau dur,False,False,False,Tournée 2024,69
B00243,38,3,122.0,3,3,4,Noyau dur,True,True,False,Tournée 2024,69
B00244,54,2,96.8,2,2,4,Noyau dur,True,True,False,Tournée 2024,69
B00245,681,2,66.0,1,2,3,À réactiver,False,False,False,Tournée 2024,69
B00246,62,3,98.0,1,3,4,Noyau dur,True,True,False,Tournée 2024,69
B00247,706,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,13
B00248,657,3,130.0,1,3,4,À réactiver,True,True,False,Tournée 2024,69
B00249,705,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00250,39,2,96.0,3,2,4,Noyau dur,True,True,False,Tournée 2024,69
B00251,61,3,156.0,1,3,4,Noyau dur,False,False,False,Tournée 2024,69
B00252,690,1,66.0,1,1,3,À réactiver,False,False,False,Tournée 2024,31
B00253,704,2,88.0,1,2,4,À réactiver,True,True,False,Tournée 2024,69
B00254,680,1,22.0,1,1,1,À réactiver,True,True,True,Tournée 2024,59
B00255,732,1,88.0,1,1,4,À réactiver,True,True,False,Tournée 2024,69
B00256,724,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,69
B00257,56,2,82.0,1,2,4,Noyau dur,True,True,False,Tournée 2024,69
B00258,700,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,13
B00259,694,2,66.0,1,2,3,À réactiver,True,True,False,Tournée 2024,69
B00260,728,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,75
B00261,692,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00262,53,2,50.0,2,2,2,Noyau dur,False,False,False,Tournée 2024,33
B00263,56,2,74.0,1,2,4,Noyau dur,True,True,False,Tournée 2024,44
B00264,666,2,88.0,1,2,4,À réactiver,False,False,False,Tournée 2024,33
B00265,723,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,35
B00266,54,3,164.0,2,3,4,Noyau dur,True,True,False,Tournée 2024,33
B00267,33,2,100.0,3,2,4,Noyau dur,True,True,False,Tournée 2024,33
B00268,672,3,88.0,1,3,4,À réactiver,True,True,True,Tournée 2024,33
B00269,697,1,22.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00270,700,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00271,720,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00272,735,1,66.0,1,1,3,À réactiver,True,True,False,Tournée 2024,33
B00273,684,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,44
B00274,687,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00275,706,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00276,39,4,160.0,3,4,4,Noyau dur,True,True,True,Tournée 2024,33
B00277,717,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00278,734,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00279,696,1,22.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00280,55,2,104.0,2,2,4,Noyau dur,True,True,False,Tournée 2024,69
B00281,712,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00282,40,2,140.0,3,2,4,Noyau dur,False,False,False,Tournée 2024,33
B00283,645,2,107.0,1,2,4,À réactiver,True,True,False,Tournée 2024,33
B00284,40,2,194.8,3,2,4,Noyau dur,True,True,False,Tournée 2024,33
B00285,718,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,35
B00286,686,2,66.0,1,2,3,À réactiver,True,True,False,Tournée 2024,BE
B00287,731,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00288,669,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,34
B00289,742,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00290,732,1,22.0,1,1,1,À réactiver,False,False,True,Tournée 2024,33
B00291,56,2,70.4,1,2,3,Noyau dur,True,True,False,Tournée 2024,44
B00292,667,1,66.0,1,1,3,À réactiver,False,False,False,Tournée 2024,33
B00293,737,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,69
B00294,38,2,76.0,3,2,4,Noyau dur,True,True,False,Tournée 2024,33
B00295,667,3,108.0,1,3,4,À réactiver,False,False,False,Tournée 2024,33
B00296,725,2,66.0,1,2,3,À réactiver,True,True,True,Tournée 2024,33
B00297,696,1,22.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00298,41,3,155.84,3,3,4,Noyau dur,True,True,False,Tournée 2024,67
B00299,48,3,131.0,2,3,4,Noyau dur,True,True,False,Tournée 2024,33
B00300,696,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00301,670,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00302,676,2,88.0,1,2,4,À réactiver,True,True,True,Tournée 2024,33
B00303,712,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,44
B00304,59,4,152.0,1,4,4,Noyau dur,True,True,False,Tournée 2024,33
B00305,681,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00306,662,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00307,53,4,178.0,2,4,4,Noyau dur,True,True,False,Tournée 2024,33
B00308,709,1,22.0,1,1,1,À réactiver,True,True,True,Tournée 2024,69
B00309,700,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00310,681,1,22.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00311,705,2,86.0,1,2,4,À réactiver,True,True,True,Tournée 2024,33
B00312,675,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00313,716,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00314,691,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00315,643,2,66.0,1,2,3,À réactiver,False,False,True,Tournée 2024,33
B00316,704,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00317,48,2,84.6,2,2,4,Noyau dur,True,True,False,Tournée 2024,33
B00318,43,3,142.0,3,3,4,Noyau dur,True,True,False,Tournée 2024,33
B00319,729,2,88.0,1,2,4,À réactiver,False,False,True,Tournée 2024,59
B00320,688,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,13
B00321,730,1,22.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00322,737,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,67
B00323,705,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00324,56,3,138.0,1,3,4,Noyau dur,False,False,True,Tournée 2024,13
B00325,667,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00326,702,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00327,698,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00328,663,3,176.0,1,3,4,À réactiver,True,True,False,Tournée 2024,33
B00329,61,2,51.92,1,2,2,Noyau dur,True,True,False,Tournée 2024,33
B00330,698,3,130.0,1,3,4,À réactiver,True,True,False,Tournée 2024,33
B00331,51,2,104.0,2,2,4,Noyau dur,True,True,False,Tournée 2024,35
B00332,49,2,112.0,2,2,4,Noyau dur,True,True,False,Tournée 2024,67
B00333,676,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00334,699,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00335,62,2,56.0,1,2,2,Noyau dur,False,False,False,Tournée 2024,33
B00336,677,1,22.0,1,1,1,À réactiver,True,True,True,Tournée 2024,33
B00337,55,2,140.8,2,2,4,Noyau dur,True,True,False,Tournée 2024,34
B00338,19,3,200.5,4,3,4,Noyau dur,False,False,False,Tournée 2024,33
B00339,729,1,44.0,1,1,1,À réactiver,False,False,False,Tournée 2024,33
B00340,45,3,118.0,2,3,4,Noyau dur,False,False,False,Tournée 2024,31
B00341,666,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00342,680,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00343,668,1,22.0,1,1,1,À réactiver,False,False,False,Tournée 2024,35
B00344,685,1,22.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
B00345,679,1,44.0,1,1,1,À réactiver,True,True,False,Tournée 2024,33
